fips,total_workers,outdoor_workers,percentage
02100,4485,521,0.11616499442586399
02105,4006,95,0.023714428357463804
02110,83407,8278,0.09924826453415181
02122,97956,13819,0.14107354322348808
02130,34066,2192,0.0643456819115834
02150,28240,1391,0.04925637393767705
02158,10463,318,0.03039281276880436
02164,4330,192,0.04434180138568129
02170,125919,20375,0.161810370158594
02180,18891,869,0.046000741093642473
02185,55082,26796,0.48647471043171997
02188,14073,492,0.034960562779791086
02195,6249,229,0.036645863338134105
02198,10739,393,0.03659558618120868
02220,20334,1350,0.06639126586013573
02230,3615,85,0.02351313969571231
02240,12852,2658,0.20681605975723621
02261,9807,700,0.07137758743754462
02275,3786,149,0.039355520338087695
02282,1509,14,0.00927766732935719
02290,10953,530,0.04838856934173286
02999,10108,444,0.043925603482390184
04001,86302,8842,0.1024541725568353
04003,171084,28618,0.16727455518926376
04005,303374,22449,0.07399777172730689
04007,72998,9143,0.12525000684950272
04009,47985,4665,0.09721788058768364
04011,25606,1012,0.03952198703428884
04012,29576,4023,0.13602245063565052
04013,10316143,1051357,0.10191376757766929
04015,260844,27156,0.10410820260385517
04017,134086,13837,0.10319496442581627
04019,1851850,182921,0.09877743877743878
04021,321850,41102,0.12770545285070686
04023,66493,10010,0.15054216233287715
04025,326106,49201,0.15087425561013904
04027,340581,76822,0.2255616138304838
04999,214386,8747,0.04080023882156484
05001,50971,2638,0.051754919464008946
05003,30495,3445,0.11296933923594032
05005,75265,4548,0.06042649305786222
05007,626389,44708,0.07137417802675335
05009,70558,3607,0.05112106352220868
05011,18360,639,0.03480392156862745
05013,15039,651,0.043287452623179734
05015,53866,3476,0.064530501615119
05017,14441,1869,0.12942317014057197
05019,43918,1592,0.03624937383305251
05021,15638,2020,0.12917252845632435
05023,31431,3116,0.09913779389774427
05025,5062,927,0.1831291979454761
05027,39507,3302,0.08358012504113195
05029,33105,4683,0.1414589941096511
05031,258910,16778,0.06480244100266502
05033,97064,8548,0.08806560619797248
05035,78473,4930,0.06282415607916099
05037,23500,2292,0.09753191489361702
05039,13312,1032,0.07752403846153846
05041,22476,2004,0.08916177255739455
05043,31631,3279,0.10366412696405425
05045,205485,21236,0.10334574299827239
05047,23623,2999,0.12695254624730135
05049,10364,1199,0.11568892319567735
05051,184963,16248,0.08784459594621627
05053,20910,1454,0.06953610712577714
05055,76551,3741,0.04886938119684916
05057,38241,2260,0.059098872937423184
05059,41072,3813,0.09283696922477601
05061,32899,865,0.02629259248001459
05063,81298,5519,0.06788604885729047
05065,14444,681,0.047147604541678205
05067,25771,5620,0.2180745799542121
05069,132740,14924,0.11243031490131083
05071,41806,1340,0.03205281538535139
05073,5576,906,0.16248206599713055
05075,19465,2141,0.10999229386077575
05077,8856,1675,0.18913730803974707
05079,13661,4946,0.362052558377864
05081,16026,791,0.049357294396605515
05083,25869,1888,0.07298310719393869
05085,70789,6582,0.09298054782522708
05087,17111,1037,0.06060428963824441
05089,18059,360,0.01993465861897115
05091,62683,7183,0.11459247323835808
05093,86213,7702,0.08933687494925359
05095,9756,977,0.10014350143501435
05097,6261,402,0.06420699568758984
05099,11732,919,0.0783327650869417
05101,5100,339,0.06647058823529411
05103,35056,3632,0.10360565951620265
05105,5577,498,0.08929532006455083
05107,25510,2940,0.11524892199137593
05109,13068,387,0.029614325068870524
05111,26051,1060,0.040689416912978386
05113,29025,1535,0.052885443583118
